,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,,,,,::,Toy Story,,1995,,,,Advanture|Comedy|Drama|Thriller
,,,,,,,,,2,,,,,::,Jumanji,,1995,,,,Drama
,,,,,,,,,3,,,,,::,Grumpier Old Men,,1995,,,,Comedy|Thriller
,,,,,,,,,4,,,,,,Waiting to Exhale,,1995,,,,Advanture|Comedy
,,,,,,,,,5,,,,,,Father of the Bride Part II,,1995,,,,Comedy|Drama|Thriller
,,,,,,,,,6,,,,,,Heat,,1995,,,,Comedy
,,,,,,,,,7,,,,,,Sabrina,,1995,,,,Thriller|Comedy
,,,,,,,,,8,,,,,,Tom and Huck,,1995,,,,Drama|Thriller
,,,,,,,,,9,,,,,,Sudden Death,,1995,,,,Advanture|Comedy|Drama|Thriller
,,,,,,,,,10,,,,,,GoldenEye,,1995,,,,Advanture|Comedy|Drama|Thriller
,,,,,,,,,11,,,,,,The American President,,1995,,,,Drama
,,,,,,,,,12,,,,,,Dracula: Dead and Loving It,,1995,,,,Comedy|Thriller
,,,,,,,,,13,,,,,,Balto,,1995,,,,Advanture|Comedy
,,,,,,,,,14,,,,,,Nixon,,1995,,,,Comedy|Drama|Thriller
,,,,,,,,,15,,,,,,Cutthroat Island,,1995,,,,Comedy
,,,,,,,,,16,,,,,,Casino,,1995,,,,Thriller|Comedy
,,,,,,,,,17,,,,,,Sense and Sensibility,,1995,,,,Drama|Thriller
,,,,,,,,,18,,,,,,Four Rooms,,1995,,,,Advanture|Comedy|Drama|Thriller
,,,,,,,,,19,,,,,,Ace Ventura: When Nature Calls,,1995,,,,Advanture|Comedy|Drama|Thriller
,,,,,,,,,20,,,,,,Money Train,,1995,,,,Drama
,,,,,,,,,21,,,,,,Get Shorty,,1995,,,,Comedy|Thriller
,,,,,,,,,22,,,,,,Copycat,,1995,,,,Advanture|Comedy
,,,,,,,,,23,,,,,,Assassins,,1995,,,,Comedy|Drama|Thriller
,,,,,,,,,24,,,,,,Powder,,1995,,,,Comedy
,,,,,,,,,25,,,,,,Leaving Las Vegas,,1995,,,,Advanture|Comedy|Drama|Thriller
,,,,,,,,,26,,,,,,Othello,,1995,,,,Drama
,,,,,,,,,27,,,,,,Now and Then,,1995,,,,Comedy|Thriller
,,,,,,,,,28,,,,,,Persuasion,,1995,,,,Advanture|Comedy
,,,,,,,,,29,,,,,,The City of Lost Children,,1995,,,,Comedy|Drama|Thriller
,,,,,,,,,30,,,,,,Shanghai Triad,,1995,,,,Comedy
,,,,,,,,,31,,,,,,Dangerous Minds,,1995,,,,Thriller|Comedy
,,,,,,,,,32,,,,,,Twelve Monkeys,,1995,,,,Drama|Thriller
,,,,,,,,,33,,,,,,Wings of Courage,,1996,,,,Advanture|Comedy|Drama|Thriller
,,,,,,,,,34,,,,,,Babe,,1995,,,,Advanture|Comedy|Drama|Thriller
,,,,,,,,,35,,,,,,Carrington,,1995,,,,Drama
,,,,,,,,,36,,,,,,Dead Man Walking,,1995,,,,Comedy|Thriller
,,,,,,,,,37,,,,,,Across the Sea of Time,,1995,,,,Advanture|Comedy
,,,,,,,,,38,,,,,,It Takes Two,,1995,,,,Comedy|Drama|Thriller
,,,,,,,,,39,,,,,,Clueless,,1995,,,,Comedy
,,,,,,,,,40,,,,,,"Cry, the Beloved Country",,1995,,,,Thriller|Comedy
,,,,,,,,,41,,,,,,Richard III,,1995,,,,Drama|Thriller
,,,,,,,,,42,,,,,,Dead Presidents,,1995,,,,Advanture|Comedy|Drama|Thriller
,,,,,,,,,43,,,,,,Restoration,,1995,,,,Advanture|Comedy|Drama|Thriller
,,,,,,,,,44,,,,,,Mortal Kombat,,1995,,,,Drama
,,,,,,,,,45,,,,,,To Die For,,1995,,,,Comedy|Thriller
,,,,,,,,,46,,,,,,How To Make An American Quilt,,1995,,,,Advanture|Comedy
,,,,,,,,,47,,,,,,Se7en,,1995,,,,Comedy|Drama|Thriller
,,,,,,,,,48,,,,,,Pocahontas,,1995,,,,Comedy
,,,,,,,,,49,,,,,,When Night Is Falling,,1995,,,,Advanture|Comedy|Drama|Thriller
,,,,,,,,,50,,,,,,The Usual Suspects,,1995,,,,Drama
,,,,,,,,,51,,,,,,Guardian Angel,,1994,,,,Comedy|Thriller
,,,,,,,,,52,,,,,,Mighty Aphrodite,,1995,,,,Advanture|Comedy
,,,,,,,,,53,,,,,,Lamerica,,1994,,,,Comedy|Drama|Thriller
,,,,,,,,,54,,,,,,The Big Green,,1995,,,,Advanture|Comedy|Drama|Thriller
,,,,,,,,,55,,,,,,Georgia,,1995,,,,Drama
,,,,,,,,,56,,,,,,Kids of the Round Table,,1997,,,,Comedy|Thriller
,,,,,,,,,57,,,,,,Home for the Holidays,,1995,,,,Advanture|Comedy
,,,,,,,,,58,,,,,,The Postman,,1994,,,,Comedy|Drama|Thriller
,,,,,,,,,59,,,,,,The Confessional,,1995,,,,Comedy
,,,,,,,,,60,,,,,,The Indian in the Cupboard,,1995,,,,Thriller|Comedy
,,,,,,,,,61,,,,,,Eye for an Eye,,1996,,,,Drama|Thriller
